trip_id,rider_id,zone,distance_km,duration_min,fare_amount,payment_mode,ride_date,surge_flag,Z_Score_Fare_Amount,Z_Score_Distance,New_Duration,Year_x,Month_x,Day_x,Weekday_x,payment_mode_Credit Card,payment_mode_UPI,payment_mode_Wallet,fare_amount_log,distance_km_log,duration_min_sqrt,duration_min_restored,fare_amount_standard,distance_km_standard,duration_min_standard,fare_amount_minmax,distance_km_minmax,duration_min_minmax,is_peak_hour,surge_flag_check,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,Win_Total_Rides,Year_y,Month_y,Day_y,Weekday_y,gender_encoded,ride_frequency_group,avg_ride_distance,avg_ride_fare,days_since_signup,ride_cancellation_rate,zone_name,population_density,traffic_index,avg_speed_kmph,zone_type,zone_name_Zone_10,zone_name_Zone_2,zone_name_Zone_3,zone_name_Zone_4,zone_name_Zone_5,zone_name_Zone_6,zone_name_Zone_7,zone_name_Zone_8,zone_name_Zone_9,traffic_level,traffic_level_encoded
T00001,R0037,Zone_10,11.83,74.59,104.88,Cash,2023-11-13,0,-0.34751734901055215,0.8049105737736879,74.59,2023,11,13,0,0.0,0.0,0.0,4.662306377358901,2.551786178627545,8.636550237218563,75.0,-0.34760426094113706,0.8051118769089531,0.3532394314046236,0.2216549444962291,0.4570433436532508,0.3703703703703704,False,0,Aadhya Iyer,32,Other,Ahmedabad,2020-11-21,489,6,3.36,489.0,2020,11,21,5,2,High,9.76125,164.3325,2123,0.012269938650306749,Zone_10,2440,1.54,35.4,Industrial,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,1.0
T00002,R0104,Zone_9,3.86,35.59,40.48,Cash,2023-07-28,1,-1.1005400573808048,-0.9857367454700674,35.59,2023,7,28,4,0.0,0.0,0.0,3.7252113833613265,1.5810384379124023,5.965735495309862,36.0,-1.1008152956137889,-0.985983272107777,-0.7309489956068974,0.08522582831963392,0.14860681114551083,0.1762246117084827,False,1,Diya Gupta,52,Male,Kolkata,2021-05-27,328,1,3.7,328.0,2021,5,27,3,1,High,5.187777777777779,85.04333333333334,1936,0.003048780487804878,Zone_9,11037,1.83,56.1,Mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,1.0
T00003,R0045,Zone_8,4.7,31.03,46.39,Cash,2024-01-14,1,-1.0314350231188762,-0.7970110556125071,31.03,2024,1,14,6,0.0,0.0,0.0,3.858411235979497,1.7404661748405046,5.570457790882182,31.0,-1.0316929786119973,-0.7972103831273435,-0.8577156424574752,0.09774595373273451,0.18111455108359134,0.15352449223416964,False,1,Saanvi Iyer,34,Other,Ahmedabad,2023-07-12,100,16,4.88,100.0,2023,7,12,2,2,High,9.725555555555555,169.98333333333332,1160,0.16,Zone_8,4516,1.93,31.0,Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,High,2.0
T00004,R0089,Zone_2,11.06,59.48,257.64,Cash,2023-12-13,0,1.4386899325211213,0.6319120247375911,59.48,2023,12,13,2,0.0,0.0,0.0,5.555437133417177,2.4898941912990393,7.712327793863536,59.0,1.439049739937656,0.6320700620102228,-0.06681408480419919,0.5452715871536311,0.4272445820433437,0.29515133412982875,False,1,Saanvi Reddy,48,Other,Surat,2022-09-21,308,6,3.91,308.0,2022,9,21,2,2,High,9.981111111111112,157.28333333333333,1454,0.01948051948051948,Zone_2,6371,0.91,58.4,Residential,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0
T00005,R0003,Zone_5,7.28,67.59,72.74,UPI,2023-03-15,1,-0.7233271292437807,-0.21735357962142948,67.59,2023,3,15,2,0.0,1.0,0.0,4.300545392805998,2.1138429683971687,8.221313763626833,68.0,-0.7235080288662773,-0.21740793840172704,0.15864150860768395,0.15356749428014574,0.28095975232198145,0.3355236957387495,False,1,Kavya Reddy,34,Male,Pune,2023-05-04,45,9,3.76,45.0,2023,5,4,3,1,High,6.768000000000001,97.171,1229,0.2,Zone_5,2590,1.31,43.9,Business,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,1.0
T00006,R0255,Zone_2,14.58,80.74,282.52,UPI,2024-02-10,1,1.729609264574722,1.4227625346168906,80.74,2024,2,10,5,0.0,1.0,0.0,5.647282667416716,2.7459880404426023,8.985543945694106,81.0,1.7300418291093265,1.4231183586901335,0.5242076064333632,0.5979789848317939,0.563467492260062,0.40098566308243727,False,0,Reyansh Sharma,37,Female,Bengaluru,2021-07-06,475,42,3.12,475.0,2021,7,6,1,0,High,9.0025,157.7775,1896,0.08842105263157894,Zone_2,6371,0.91,58.4,Residential,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0
T00007,R0224,Zone_4,4.48,40.07,58.38,Credit Card,2023-08-21,1,-0.8912371617313091,-0.8464392124799632,40.07,2023,8,21,0,1.0,0.0,0.0,4.083957469335614,1.7011051009599243,6.330086887239385,40.0,-0.8914600546100548,-0.8466509016698379,-0.6064063250168561,0.1231463435302093,0.17260061919504646,0.19852648347272003,False,1,Ishaan Sharma,29,Female,Ahmedabad,2020-08-04,200,1,4.31,200.0,2020,8,4,1,0,High,5.958571428571429,73.44857142857143,2232,0.005,Zone_4,4038,2.46,48.2,Business,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00008,R0039,Zone_3,11.75,96.11,102.35,Wallet,2024-03-10,0,-0.37710038398224066,0.7869366985491583,96.11,2024,3,10,6,0.0,0.0,1.0,4.638121286127777,2.545531271604435,9.803570778037969,96.0,-0.3771946944461341,0.7871335065298642,0.9514890454889294,0.21629522921786287,0.45394736842105265,0.47749900438072485,False,0,Aadhya Iyer,24,Male,Chennai,2023-11-18,190,14,4.2,190.0,2023,11,18,5,1,High,4.837142857142857,72.58,1031,0.07368421052631578,Zone_3,12971,2.11,38.0,Business,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00009,R0223,Zone_5,9.71,66.61,175.75,Credit Card,2024-05-20,0,0.4811584171726746,0.3286028803236553,66.61,2024,5,20,0,1.0,0.0,0.0,5.174736304776682,2.3711778844596574,8.161494961096281,67.0,0.4812787519043728,0.3286850618630979,0.1313977994161123,0.371790526226591,0.37500000000000006,0.33064516129032256,False,1,Meera Ghosh,30,Female,Surat,2019-11-29,158,10,4.04,158.0,2019,11,29,4,0,High,7.05,123.40125,2481,0.06329113924050633,Zone_5,2590,1.31,43.9,Business,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,1.0
T00010,R0236,Zone_5,7.37,51.09,98.34,UPI,2023-03-01,1,-0.4239889097674069,-0.19713296999383378,51.09,2023,3,1,2,0.0,1.0,0.0,4.598548309679204,2.124653884501384,7.147726911403373,51.0,-0.4240949467603783,-0.19718227172525207,-0.30005359512795954,0.20780018642487924,0.28444272445820434,0.2533851055356432,False,1,Arjun Gupta,28,Male,Ahmedabad,2020-08-10,61,1,3.36,61.0,2020,8,10,0,1,High,4.546363636363636,69.86727272727272,2226,0.01639344262295082,Zone_5,2590,1.31,43.9,Business,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,1.0
